epochs,N,d_dim,k,C,L,hidden_dim,batch_size,regime,outfile,target,eps,dataset,train_loss,test_loss,gen_gap,Nmin
1000,500,64,3,5,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0069849393796175,0.5382460924029351,0.5312611530233176,29
1000,500,64,3,10,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0070602267637456,0.5135300454378128,0.5064698186740672,119
1000,500,64,3,15,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0069637288882707,0.5367886836856604,0.5298249547973896,418
1000,500,64,3,20,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0084600030962877,0.4674031613320112,0.4589431582357234,717
1000,500,64,3,25,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0089232022684543,0.4692342471033334,0.460311044834879,1095
1000,500,64,3,30,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0086338014453036,0.5206349470853806,0.5120011456400769,1554
1000,500,64,3,35,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.007874834759515,0.542355358788371,0.534480524028856,1813
1000,500,64,3,40,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0097305418289749,0.4960044081106782,0.4862738662817032,2391
1000,500,64,3,45,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0092266844328027,0.5369427987277507,0.527716114294948,2689
1000,500,64,3,50,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0095514315143139,0.4926810502067208,0.4831296186924068,3387
300,500,64,3,5,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0054439264931716,0.5158603734254837,0.5104164469323121,23
300,500,64,3,10,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0089406287443125,0.4670437676787376,0.458103138934425,203
300,500,64,3,15,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0099254698226494,0.465538116645813,0.4556126468231635,489
300,500,64,3,20,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0085225126049209,0.5413213575273752,0.5327988449224542,872
300,500,64,3,25,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0099130587425731,0.5070412248060108,0.4971281660634376,1159
300,500,64,3,30,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0097435609228847,0.5035924728006125,0.4938489118777278,1542
300,500,64,3,35,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0086383766926317,0.5146368910834194,0.5059985143907876,1924
300,500,64,3,40,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.0095790191917935,0.5519711227446794,0.5423921035528858,2307
300,500,64,3,45,1,128,64,subsample,results/ablation_study_values_of_C_small_k.csv,0.5,0.05,gaussian,0.00872743745677225,0.4950859796762466,0.4863585422194744,2880
